name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bremen,2022-03-01T00:00:00,1.5,-3.1,-2.7,73.78,0,0,,0,0,28.4,18.7,120,1030.9,0,25,,,,,Clear,clear-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T01:00:00,0.8,-2.3,-2.7,77.3,0,0,,0,0,,10.1,130,1031.3,0,25,,,,,Clear,clear-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T02:00:00,0.5,0.5,-2.9,78,0,0,,0,0,24.5,4.7,130,1031.1,0,25,,,,,Clear,clear-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T03:00:00,0.1,-3.8,-3.4,77.46,0,0,,0,0,21.2,12.6,120,1030.6,0,25,,,,,Clear,clear-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T04:00:00,0.3,-4,-3.4,76.42,0,0,,0,0,19.8,14.7,120,1030.1,0,34.9,,,,,Clear,clear-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T05:00:00,-0.2,-4.1,-3.7,77.44,0,0,,0,0,18.7,12.6,130,1030.1,12.9,35,,,,,Clear,clear-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T06:00:00,-0.7,-4.2,-3.9,79.01,0,0,,0,0,18.7,10.4,130,1030,0,35,,,,,Clear,clear-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T07:00:00,-0.9,-4.5,-4,79.67,0,0,,0,0,,10.4,130,1029.9,67,25,7,0,0,,Partially cloudy,partly-cloudy-night,"04275,00704,C2597,05014,00691,00044,05822"
bremen,2022-03-01T08:00:00,-0.8,-4.9,-4.1,78.35,0,0,,0,0,17.3,12.2,140,1030,100,20,25,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T09:00:00,0.9,-3.3,-3.6,71.81,0,0,,0,0,17.3,14.7,140,1030,100,25,69,0.2,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T10:00:00,2.7,-0.8,-2.2,70.33,0,0,,0,0,17.6,13.3,150,1030,100,25,73,0.3,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T11:00:00,5.2,2.7,-1.4,62.66,0,0,,0,0,19.4,10.8,150,1030,100,25,128,0.5,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T12:00:00,6.3,3.7,-2.1,54.72,0,0,,0,0,20.5,12.9,180,1030,99.6,25,276,1,3,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T13:00:00,7.8,6.2,-1.3,52.4,0,0,,0,0,,9.4,170,1029.8,100,25,344,1.2,3,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T14:00:00,8.3,6.5,-0.4,54.29,0,0,,0,0,17.3,10.8,140,1029.2,100,25,449,1.6,4,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T15:00:00,8.5,7.8,-0.8,51.81,0,0,,0,0,13.7,5.8,150,1029.1,100,30,204,0.7,2,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T16:00:00,7.7,5.5,1.1,62.97,0,0,,0,0,10.1,12.2,110,1028.8,100,30,126,0.5,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T17:00:00,7.6,5.8,0.1,58.72,0,0,,0,0,6.5,10,120,1028.5,100,30,62,0.2,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T18:00:00,6.5,5,-0.1,62.51,0,0,,0,0,6.8,7.9,110,1028.7,100,30,23,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T19:00:00,5.8,4.2,-0.6,63.51,0,0,,0,0,,7.5,90,1028.7,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T20:00:00,5.7,4,-0.4,64.61,0,0,,0,0,10.4,7.9,99,1028.9,100,25,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T21:00:00,5.5,4.2,-0.6,64.53,0,0,,0,0,11.9,6.5,60,1028.9,100,25,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T22:00:00,5,3.7,-0.4,68.17,0,0,,0,0,10.8,6.1,80,1028.8,100,25,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-01T23:00:00,4.3,4.3,-0.8,69.56,0,0,,0,0,7.9,3.2,90,1028.7,100,29.9,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-02T00:00:00,4.3,3.3,-0.8,69.54,0,0,,0,0,7.2,5,60,1028.5,100,29.9,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-02T01:00:00,4,2.8,-0.4,73.06,0,0,,0,0,,5.4,50,1028.5,76,29.9,,,,,Partially cloudy,partly-cloudy-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-02T02:00:00,3.8,2.2,-0.1,75.63,0,0,,0,0,6.5,6.5,30,1028.5,90,25,,,,,Partially cloudy,partly-cloudy-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-03-02T03:00:00,3.3,1.1,-0.8,74.62,0,0,,0,0,5.8,8.3,40,1027.9,89.8,24.9,,,,,Partially cloudy,partly-cloudy-night,"04275,00704,05014,00691,00044,05822"
