name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bremen,2022-01-01T00:00:00,11,11,10.3,95.45,0,0,,,,,27.7,262,,83,,0,0,0,,Partially cloudy,partly-cloudy-night,remote
bremen,2022-01-01T01:00:00,12.1,12.1,10.6,90.02,0,0,,0,0,,24.8,250,1019.6,88.8,12,0,0,0,,Partially cloudy,partly-cloudy-night,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T02:00:00,12.1,12.1,10.6,90.6,0,0,,0,0,,19.4,250,1019.9,97.8,15,0,0,0,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T03:00:00,11.8,11.8,10.4,90.61,0,0,,0,0,,18,250,1020.3,97.2,15,0,0,0,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T04:00:00,12,12,10.2,88.33,0,0,,0,0,,21.2,250,1020.7,96.8,15,0,0,0,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T05:00:00,11.7,11.7,10.2,90.59,0,0,,0,0,,18.7,250,1020.8,96.3,11,0,0,0,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T06:00:00,11.8,11.8,10.2,89.45,0,0,,0,0,,20.5,260,1021.3,96,11,0,0,0,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T07:00:00,11.6,11.6,10.2,90.58,0,0,,0,0,,16.6,250,1021.5,99.5,7,0,0,0,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T08:00:00,11.6,11.6,10.2,90.63,0,0,,0,0,,16.9,240,1021.8,99.5,7,0.8,0,0,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-01-01T09:00:00,11.6,11.6,10.2,90.58,0,0,,0,0,,17.3,240,1022.4,97.7,6,6,0,0,,Overcast,cloudy,"04275,00704,C2597,05014,00691,00044,05822"
bremen,2022-01-01T10:00:00,11.8,11.8,10.1,88.9,0,0,,0,0,,19.4,240,1022.6,96.7,8,19,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
