name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
bremen,2022-04-01T00:00:00,1.3,-4.6,-3.6,69.46,0.002,100,"rain,snow",0,0,41.8,28.7,60,1006.9,100,20,,,,,"Snow, Rain, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T01:00:00,1,-4.6,-3.2,73.61,0.004,100,"rain,snow",0.2,0.2,33.8,25.2,60,1007.4,100,9,,,,,"Snow, Rain, Overcast",snow,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T02:00:00,0.7,-5,-2.9,77.22,0.004,100,"rain,snow",0,0.2,32,24.4,50,1007.4,100,20,,,,,"Snow, Rain, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T03:00:00,0.6,-4.6,-2.9,77.59,0.002,100,"rain,snow",0,0.3,31.7,20.5,50,1007.4,100,18,,,,,"Snow, Rain, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T04:00:00,0.9,-3.8,-3.2,74.3,0.001,100,"rain,snow",0,0.3,31,17.6,50,1007.3,100,18,,,,,"Snow, Rain, Overcast",rain,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T05:00:00,1.3,-3.6,-4.1,66.92,0,0,,0,0.3,30.6,20.2,50,1007.3,100,20,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T06:00:00,1.1,-5,-3.7,70.24,0,0,,0,0.3,28.4,30.6,40,1007.5,100,22,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T07:00:00,1.6,-3.5,-5.3,60.08,0,0,,0,0.3,32.4,22.7,30,1007.8,100,45,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T08:00:00,2.1,-3.3,-5.3,58,0,0,,0,0.1,39.6,26.6,30,1008.5,100,45,9,0,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T09:00:00,2.3,-3,-4.6,60.22,0,0,,0,0.1,36,25.9,30,1009.1,100,45,34,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T10:00:00,3,-2.6,-5.1,55.31,0,0,,0,0.1,43.2,30.5,40,1009.6,100,45,85,0.3,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T11:00:00,3.5,-2.1,-5.8,50.73,0,0,,0,0.1,45.7,32.7,50,1010.1,100,45,155,0.6,2,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T12:00:00,4.3,-0.5,-4.6,52.25,0,0,,0,0.1,44.6,27,50,1010.7,100,45,171,0.6,2,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T13:00:00,4.6,-0.6,-4.8,50.57,0,0,,0,0,48.6,31.7,60,1010.7,100,45,167,0.6,2,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T14:00:00,4.8,-0.2,-4.4,51.25,0,0,,0,0,52.9,30.2,40,1010.7,100,45,169,0.6,2,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T15:00:00,4.6,-0.4,-4.1,52.97,0,0,,0,0,49.7,29.9,30,1010.9,100,45,166,0.6,2,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T16:00:00,4.8,-0.2,-4.6,50.44,0,0,,0,0,50.4,31,40,1011.1,100,45,161,0.6,2,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T17:00:00,4.3,-1.2,-4.3,53.26,0,0,,0,0,49.3,34.9,20,1011.2,100,45,123,0.4,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T18:00:00,4.1,-1.3,-5.1,50.99,0,0,,0,0,50,33.1,50,1011.6,100,45,80,0.3,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T19:00:00,4.3,-1.2,-5.8,47.92,0,0,,0,0,43.6,34.1,40,1012.1,100,45,38,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T20:00:00,4,-1.2,-6.1,47.84,0,0,,0,0,37.4,30.2,40,1012.8,100,25,12,0,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T21:00:00,3.6,-1.4,-5.8,50.24,0,0,,0,0,33.8,27,40,1013.6,100,25,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T22:00:00,3.1,-2.2,-5.4,53.44,0,0,,0,0,33.5,28.8,40,1014.1,100,25,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-01T23:00:00,2.8,-1.5,-5.3,54.99,0,0,,0,0,31.7,18.7,30,1014.4,100,25,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T00:00:00,2.8,-2,-5.9,52.68,0,0,,0,0,28.1,22.6,40,1014.7,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T01:00:00,2.6,-1.9,-5.6,54.74,0,0,,0,0,25.9,19.8,30,1014.9,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T02:00:00,2.1,-2.4,-4.6,60.9,0,0,,0,0,24.1,18.7,20,1015.2,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T03:00:00,1.8,-2.6,-4.1,64.63,0,0,,0,0,22.7,18,20,1015.3,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T04:00:00,1.6,-3,-3.8,67.11,0,0,,0,0,22.3,19,20,1015.5,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T05:00:00,1.6,-2.4,-3.6,68.18,0,0,,0,0,21.6,15.1,20,1015.7,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T06:00:00,1.3,-3,-3.4,70.68,0,0,,0,0,22,16.2,20,1016.1,100,30,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T07:00:00,1.1,-3.5,-3.3,72.33,0,0,,0,0,22,17.6,20,1016.6,100,30.1,,,,,Overcast,cloudy,"04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T08:00:00,1,-4,-3.1,73.87,0,0,,0,0,22.7,20.5,20,1017.1,95.8,30,31,0.1,0,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
bremen,2022-04-02T09:00:00,1.5,-3.5,-3.1,71.2,0,0,,0,0,26.3,21.6,20,1017.9,95.8,30.1,110,0.4,1,,Overcast,cloudy,"E8845,04275,00704,05014,00691,00044,05822"
